Année de naissance, sexe, origine ethnique, prénom de l'enfant, nombre, rang
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Sharon, 13,38
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Ange, 13,38
2016, FEMME, ÎLE D'ASIE ET ​​DU PACIFIQUE, Haniya, 13,38
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Lucy, 13,38
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Elsa, 13,38
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Meera, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Stella, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Jessie, 12, 39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Joy, 12, 39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Anne, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Amara, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Carina, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Savannah, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Selina, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Karen, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Valérie, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Luna, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Esther, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Annabelle, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Eleanor, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Céline, 12,39
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Nora, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Kira, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Yuna, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Layla, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Taylor, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Noor, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Bonnie, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Jenny, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Sylvia, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Scarlett, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Hareem, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Miranda, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Lillian, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Amina, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Zahra, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Mahnoor, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Eunice, 11,40
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Laura, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Été, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Jannatul, 10,41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Mariam, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Leela, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Brianna, 10,41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Anabia, 10,41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Lia, 10, 41
2016, FEMME, ÎLE D'ASIE ET ​​DU PACIFIQUE, Anjali, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Caroline, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Aileen, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Amira, 10,41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Hazel, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Syeda, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Arisha, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Aliyah, 10,41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Mira, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Keira, 10, 41
2016, FEMME, ASIATIQUE ET INSULAIRE DU PACIFIQUE, Livia, 10,41
2016, FEMME, NOIRE NON HISPANIQUE, Ava, 109, 1
2016, FEMME, NOIRE NON HISPANIQUE, Madison, 104, 2
2016, FEMME, NOIRE NON HISPANIQUE, Skylar, 68,3
2016, FEMME, NOIRE NON HISPANIQUE, Riley, 65,4
2016, FEMME, NOIRE NON HISPANIQUE, Aaliyah, 57,5
2016, FEMME, NOIRE NON HISPANIQUE, Savannah, 54,6
2016, FEMME, NOIRE NON HISPANIQUE, Chloé, 51,7
2016, FEMME, NOIRE NON HISPANIQUE, Olivia, 49,8
2016, FEMME, NOIRE NON HISPANIQUE, Abigail, 48,9
2016, FEMME, NOIRE NON HISPANIQUE, Fatoumata, 48,9
2016, FEMME, NOIRE NON HISPANIQUE, Peyton, 46, 10
2016, FEMME, NOIRE NON HISPANIQUE, Zoe, 45, 11
2016, FEMME, NOIRE NON HISPANIQUE, Isabella, 44, 12
2016,FEMME,NOIRE NON HISPANIQUE,Foi,43,13
2016, FEMME, NOIRE NON HISPANIQUE, Londres, 41,14
2016,FEMME,NOIRE NON HISPANIQUE,Automne,41,14
2016, FEMME, NOIRE NON HISPANIQUE, Sophia, 40, 15
2016, FEMME, NOIRE NON HISPANIQUE, Malia, 38, 16
2016, FEMME, NOIRE NON HISPANIQUE, Brielle, 38, 16
2016, FEMME, NOIRE NON HISPANIQUE, Amelia, 37, 17
2016, FEMME, NOIRE NON HISPANIQUE, Taylor, 37, 17
2016, FEMME, NOIRE NON HISPANIQUE, Mia, 37, 17
2016, FEMME, NOIRE NON HISPANIQUE, Fatima, 36, 18
2016, FEMME, NOIRE NON HISPANIQUE, Nevaeh, 35, 19
2016, FEMME, NOIRE NON HISPANIQUE, Arianna, 35, 19
2016, FEMME, NOIRE NON HISPANIQUE, Kayla, 35, 19
2016, FEMME, NOIRE NON HISPANIQUE, Zoey, 34, 20
2016, FEMME, NOIRE NON HISPANIQUE, Nia, 34, 20
2016, FEMME, NOIRE NON HISPANIQUE, Kylie, 34 ans, 20 ans
2016, FEMME, NOIRE NON HISPANIQUE, Gabrielle, 33 ans, 21 ans
2016, FEMME, NOIRE NON HISPANIQUE, Aisha, 33, 21
2016, FEMME, NOIRE NON HISPANIQUE, Aria, 33, 21
2016, FEMME, NOIRE NON HISPANIQUE, Serenity, 33, 21
2016, FEMME, NOIRE NON HISPANIQUE, Laila, 32, 22
2016, FEMME, NOIRE NON HISPANIQUE, Khloe, 32, 22
2016, FEMME, NOIRE NON HISPANIQUE, Naomi, 32, 22
2016, FEMME, NOIRE NON HISPANIQUE, Leah, 32, 22
2016, FEMME, NOIRE NON HISPANIQUE, Makayla, 32,22
2016, FEMME, NOIRE NON HISPANIQUE, Mariam, 31, 23
2016, FEMME, NOIRE NON HISPANIQUE, Paige, 30, 24
2016, FEMME, NOIRE NON HISPANIQUE, Zuri, 30, 24
2016, FEMME, NOIRE NON HISPANIQUE, Mariama, 30, 24
2016, FEMME, NOIRE NON HISPANIQUE, Victoria, 30, 24
2016, FEMME, NOIRE NON HISPANIQUE, Jasmine, 28,25
2016, FEMME, NOIRE NON HISPANIQUE, Grace, 28, 25
2016, FEMME, NOIRE NON HISPANIQUE, Nyla, 28, 25
2016, FEMME, NOIRE NON HISPANIQUE, Morgan, 28, 25
2016, FEMME, NOIRE NON HISPANIQUE, Aminata, 27, 26
2016, FEMME, NOIRE NON HISPANIQUE, Emily, 26, 27
2016, FEMME, NOIRE NON HISPANIQUE, Lauren, 26, 27
2016, FEMME, NOIRE NON HISPANIQUE, Layla, 25, 28
2016, FEMME, NOIRE NON HISPANIQUE, Sarah, 25, 28
2016, FEMME, NOIRE NON HISPANIQUE, Hailey, 25, 28
2016, FEMME, NOIRE NON HISPANIQUE, Miracle, 25, 28
2016, FEMME, NOIRE NON HISPANIQUE, Ariah, 25, 28
2016, FEMME, NOIRE NON HISPANIQUE, Emma, ​​24, 29
2016, FEMME, NOIRE NON HISPANIQUE, Amina, 24, 29
2016, FEMME, NOIRE NON HISPANIQUE, Amiyah, 24, 29
2016, FEMME, NOIRE NON HISPANIQUE, Nylah, 24, 29
2016, FEMME, NOIRE NON HISPANIQUE, Chelsea, 23,30
2016,FEMME,NOIRE NON HISPANIQUE,Paradis,23,30
2016, FEMME, NOIRE NON HISPANIQUE, Bella, 23,30
2016, FEMME, NOIRE NON HISPANIQUE, Ariana, 23, 30
2016, FEMME, NOIRE NON HISPANIQUE, Elizabeth, 23, 30
2016, FEMME, NOIRE NON HISPANIQUE, Trinity, 22, 31
2016, FEMME, NOIRE NON HISPANIQUE, Amaya, 22, 31
2016,FEMME,NOIRE NON HISPANIQUE,Genèse,22,31
2016,FEMME,NOIRE NON HISPANIQUE,Paris,22,31
2016, FEMME, NOIRE NON HISPANIQUE, Jordyn, 22, 31
2016, FEMME, NOIRE NON HISPANIQUE, Ariel, 22, 31
2016, FEMME, NOIRE NON HISPANIQUE, Gabriella, 21, 32
2016, FEMME, NOIRE NON HISPANIQUE, Kennedy, 21, 32
2016, FEMME, NOIRE NON HISPANIQUE, Talia, 21, 32
2016, FEMME, NOIRE NON HISPANIQUE, Mariah, 21, 32
2016, FEMME, NOIRE NON HISPANIQUE, Imani, 21,32
2016, FEMME, NOIRE NON HISPANIQUE, Jayla, 20, 33
2016, FEMME, NOIRE NON HISPANIQUE, Kaylee, 20, 33
2016, FEMME, NOIRE NON HISPANIQUE, Dakota, 20, 33
2016,FEMME,NOIRE NON HISPANIQUE,Destiny,20,33
2016, FEMME, NOIRE NON HISPANIQUE, Alyssa, 20, 33
2016, FEMME, NOIRE NON HISPANIQUE, Kimora, 20, 33
2016, FEMME, NOIRE NON HISPANIQUE, Maya, 20, 33
2016, FEMME, NOIRE NON HISPANIQUE, Sydney, 20, 33
2016, FEMME, NOIRE NON HISPANIQUE, Charlotte, 19, 34
2016, FEMME, NOIRE NON HISPANIQUE, Leilani, 19, 34
2016, FEMME, NOIRE NON HISPANIQUE, Michelle, 19, 34
2016, FEMME, NOIRE NON HISPANIQUE, Aliyah, 18, 35
2016, FEMME, NOIRE NON HISPANIQUE, Aniyah, 18, 35
2016, FEMME, NOIRE NON HISPANIQUE, Tori, 18, 35
2016, FEMME, NOIRE NON HISPANIQUE, Aubrey, 18, 35
2016, FEMME, NOIRE NON HISPANIQUE, Avery, 18, 35
2016, FEMME, NOIRE NON HISPANIQUE, Paroles, 18, 35
2016, FEMME, NOIRE NON HISPANIQUE, Arielle, 17, 36
2016, FEMME, NOIRE NON HISPANIQUE, Eliana, 17, 36
2016, FEMME, NOIRE NON HISPANIQUE, Mya, 17, 36
2016, FEMME, NOIRE NON HISPANIQUE, Kiara, 17, 36
2016, FEMME, NOIRE NON HISPANIQUE, Égypte, 17,36
2016, FEMME, NOIRE NON HISPANIQUE, Hannah, 17, 36
2016, FEMME, NOIRE NON HISPANIQUE, Journee, 16,37
2016, FEMME, NOIRE NON HISPANIQUE, Anaya, 16, 37
2016, FEMME, NOIRE NON HISPANIQUE, Skyla, 16, 37
2016, FEMME, NOIRE NON HISPANIQUE, Janelle, 16, 37
2016, FEMME, NOIRE NON HISPANIQUE, Harmony, 16, 37
2016, FEMME, NOIRE NON HISPANIQUE, Isabelle, 16, 37
2016, FEMME, NOIRE NON HISPANIQUE, Alani, 15, 38
2016, FEMME, NOIRE NON HISPANIQUE, Brianna, 15, 38
2016, FEMME, NOIRE NON HISPANIQUE, Zariah, 15, 38
2016, FEMME, NOIRE NON HISPANIQUE, Maliyah, 15, 38
2016, FEMME, NOIRE NON HISPANIQUE, Jade, 15, 38
2016, FEMME, NOIRE NON HISPANIQUE, Amira, 15, 38
2016, FEMME, NOIRE NON HISPANIQUE, Sage, 15, 38
2016, FEMME, NOIRE NON HISPANIQUE, Kali, 14, 39
2016, FEMME, NOIRE NON HISPANIQUE, Brooke, 14, 39
2016, FEMME, NOIRE NON HISPANIQUE, Zara, 14,39
2016, FEMME, NOIRE NON HISPANIQUE, Nala, 14, 39
2016, FEMME, NOIRE NON HISPANIQUE, Londres, 14,39
2016, FEMME, NOIRE NON HISPANIQUE, Amirah, 14, 39
2016, FEMME, NOIRE NON HISPANIQUE, McKenzie, 14, 39
2016, FEMME, NOIRE NON HISPANIQUE, Sarai, 14,39
2016, FEMME, NOIRE NON HISPANIQUE, Nova, 14, 39
2016, FEMME, NOIRE NON HISPANIQUE, Gianna, 13, 40
2016, FEMME, NOIRE NON HISPANIQUE, Eva, 13, 40
2016, FEMME, NOIRE NON HISPANIQUE, Joy, 13, 40
2016, FEMME, NOIRE NON HISPANIQUE, Danielle, 13,40
2016, FEMME, NOIRE NON HISPANIQUE, Mackenzie, 13,40
2016, FEMME, NOIRE NON HISPANIQUE, Christina, 13, 40
2016, FEMME, NOIRE NON HISPANIQUE, Alexis, 13,40
2016, FEMME, NOIRE NON HISPANIQUE, Addison, 13,40
2016, FEMME, NOIRE NON HISPANIQUE, Harper, 12,41
2016,FEMME,NOIRE NON HISPANIQUE,Bintou,12,41
2016, FEMME, NOIRE NON HISPANIQUE, Marley, 12, 41
2016,FEMME,NOIR NON HISPANIQUE,Janiyah,12,41
2016, FEMME, NOIRE NON HISPANIQUE, Tianna, 12, 41
2016,FEMME,NOIRE NON HISPANIQUE,Voyage,12,41
2016, FEMME, NOIRE NON HISPANIQUE, Milani, 12,41
2016,FEMME,NOIRE NON HISPANIQUE,Oumou,12,41
2016, FEMME, NOIRE NON HISPANIQUE, Amara, 12,41
2016, FEMME, NOIRE NON HISPANIQUE, Eden, 12, 41
2016, FEMME, NOIRE NON HISPANIQUE, Sasha, 12, 41
2016, FEMME, NOIRE NON HISPANIQUE, Jada, 12, 41
2016, FEMME, NOIRE NON HISPANIQUE, Cali, 12,41
2016, FEMME, NOIRE NON HISPANIQUE, Ella, 12, 41
2016, FEMME, NOIRE NON HISPANIQUE, Princesse, 11,42
2016, FEMME, NOIRE NON HISPANIQUE, Mélanie, 11,42
2016, FEMME, NOIRE NON HISPANIQUE, Kaliyah, 11,42
2016, FEMME, NOIRE NON HISPANIQUE, Nalani, 11,42
2016, FEMME, NOIRE NON HISPANIQUE, McKenzie, 11,42
2016, FEMME, NOIRE NON HISPANIQUE, Aicha, 11,42
2016,FEMME,NOIRE NON HISPANIQUE,Aissatou,11,42
2016, FEMME, NOIRE NON HISPANIQUE, Malaisie, 11,42
2016, FEMME, NOIRE NON HISPANIQUE, Audrey, 11, 42
2016, FEMME, NOIRE NON HISPANIQUE, Tamia, 11,42
2016, FEMME, NOIRE NON HISPANIQUE, Règne, 11, 42
2016, FEMME, NOIRE NON HISPANIQUE, Rylee, 11, 42
2016, FEMME, NOIRE NON HISPANIQUE, Khadija, 10, 43
2016, FEMME, NOIRE NON HISPANIQUE, Mila, 10, 43
2016, FEMME, NOIRE NON HISPANIQUE, Maimouna, 10,43
